timestamp,fatigue_score,head_tilt,keyboard_count,mouse_clicks,confidence,face_detected
2025-11-12 17:50:33,52.92,6.57,0,0,0.85,1
2025-11-12 17:51:33,41.26,5.31,130,11,0.93,1
2025-11-12 17:52:33,35.69,12.58,22,5,0.89,0
2025-11-12 17:53:33,31.52,11.74,41,5,0.95,0
2025-11-12 17:54:33,43.8,8.77,62,1,0.94,1
2025-11-12 17:55:33,45.39,12.57,68,2,0.89,1
2025-11-12 17:56:33,30.04,12.0,151,3,0.89,0
2025-11-12 17:57:33,29.09,8.98,48,3,0.91,0
2025-11-12 17:58:33,38.23,14.69,15,3,0.91,0
2025-11-12 17:59:33,51.86,10.03,10,6,0.88,1
2025-11-12 18:00:33,26.82,5.44,123,6,0.92,0
2025-11-12 18:01:33,48.38,8.27,22,9,0.88,1
